Project Name,Package Name,Type Name,Code Smell
mall,com.macro.mall.bo,AdminUserDetails,Unutilized Abstraction
mall,com.macro.mall.config,GlobalCorsConfig,Unutilized Abstraction
mall,com.macro.mall.config,MallSecurityConfig,Unutilized Abstraction
mall,com.macro.mall.config,MyBatisConfig,Unnecessary Abstraction
mall,com.macro.mall.config,MyBatisConfig,Unutilized Abstraction
mall,com.macro.mall.config,OssConfig,Unutilized Abstraction
mall,com.macro.mall.config,SwaggerConfig,Unutilized Abstraction
mall,com.macro.mall.controller,CmsPrefrenceAreaController,Unutilized Abstraction
mall,com.macro.mall.controller,CmsSubjectController,Unutilized Abstraction
mall,com.macro.mall.controller,MinioController,Unutilized Abstraction
mall,com.macro.mall.controller,OmsCompanyAddressController,Unutilized Abstraction
mall,com.macro.mall.controller,OmsOrderController,Unutilized Abstraction
mall,com.macro.mall.controller,OmsOrderReturnApplyController,Unutilized Abstraction
mall,com.macro.mall.controller,OmsOrderReturnReasonController,Unutilized Abstraction
mall,com.macro.mall.controller,OmsOrderSettingController,Unutilized Abstraction
mall,com.macro.mall.controller,OssController,Unutilized Abstraction
mall,com.macro.mall.controller,PmsBrandController,Unutilized Abstraction
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,Unutilized Abstraction
mall,com.macro.mall.controller,PmsProductAttributeController,Unutilized Abstraction
mall,com.macro.mall.controller,PmsProductCategoryController,Unutilized Abstraction
mall,com.macro.mall.controller,PmsProductController,Unutilized Abstraction
mall,com.macro.mall.controller,PmsSkuStockController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsCouponController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsCouponHistoryController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsFlashPromotionController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsHomeAdvertiseController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsHomeBrandController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsHomeNewProductController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsHomeRecommendProductController,Unutilized Abstraction
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,Unutilized Abstraction
mall,com.macro.mall.controller,UmsAdminController,Unutilized Abstraction
mall,com.macro.mall.controller,UmsMemberLevelController,Unutilized Abstraction
mall,com.macro.mall.controller,UmsMenuController,Unutilized Abstraction
mall,com.macro.mall.controller,UmsResourceCategoryController,Unutilized Abstraction
mall,com.macro.mall.controller,UmsResourceController,Unutilized Abstraction
mall,com.macro.mall.controller,UmsRoleController,Unutilized Abstraction
mall,com.macro.mall.dao,CmsPrefrenceAreaProductRelationDao,Unutilized Abstraction
mall,com.macro.mall.dao,CmsSubjectProductRelationDao,Unutilized Abstraction
mall,com.macro.mall.dao,PmsProductAttributeValueDao,Unutilized Abstraction
mall,com.macro.mall.dao,PmsProductFullReductionDao,Unutilized Abstraction
mall,com.macro.mall.dao,PmsProductLadderDao,Unutilized Abstraction
mall,com.macro.mall.dao,PmsProductVertifyRecordDao,Unutilized Abstraction
mall,com.macro.mall.dto,BucketPolicyConfigDto,Broken Modularization
mall,com.macro.mall.dto,Statement,Unnecessary Abstraction
mall,com.macro.mall.dto,Statement,Unutilized Abstraction
mall,com.macro.mall.dto,MinioUploadDto,Unnecessary Abstraction
mall,com.macro.mall.dto,OmsMoneyInfoParam,Unnecessary Abstraction
mall,com.macro.mall.dto,OmsMoneyInfoParam,Unutilized Abstraction
mall,com.macro.mall.dto,OmsOrderDeliveryParam,Unnecessary Abstraction
mall,com.macro.mall.dto,OmsOrderDeliveryParam,Unutilized Abstraction
mall,com.macro.mall.dto,OmsOrderDetail,Unnecessary Abstraction
mall,com.macro.mall.dto,OmsOrderDetail,Unutilized Abstraction
mall,com.macro.mall.dto,OmsOrderQueryParam,Broken Modularization
mall,com.macro.mall.dto,OmsOrderReturnApplyResult,Unnecessary Abstraction
mall,com.macro.mall.dto,OmsReceiverInfoParam,Unutilized Abstraction
mall,com.macro.mall.dto,OmsReceiverInfoParam,Broken Modularization
mall,com.macro.mall.dto,OmsReturnApplyQueryParam,Broken Modularization
mall,com.macro.mall.dto,OmsUpdateStatusParam,Broken Modularization
mall,com.macro.mall.dto,OssCallbackParam,Unnecessary Abstraction
mall,com.macro.mall.dto,OssCallbackResult,Unnecessary Abstraction
mall,com.macro.mall.dto,OssCallbackResult,Broken Modularization
mall,com.macro.mall.dto,OssPolicyResult,Broken Modularization
mall,com.macro.mall.dto,PmsBrandParam,Broken Modularization
mall,com.macro.mall.dto,PmsProductAttributeCategoryItem,Unnecessary Abstraction
mall,com.macro.mall.dto,PmsProductAttributeCategoryItem,Unutilized Abstraction
mall,com.macro.mall.dto,PmsProductAttributeParam,Broken Modularization
mall,com.macro.mall.dto,PmsProductCategoryParam,Broken Modularization
mall,com.macro.mall.dto,PmsProductCategoryWithChildrenItem,Unnecessary Abstraction
mall,com.macro.mall.dto,PmsProductCategoryWithChildrenItem,Unutilized Abstraction
