Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
mall,com.macro.mall.bo,AdminUserDetails,AdminUserDetails,4,1,2
mall,com.macro.mall.bo,AdminUserDetails,getAuthorities,3,1,0
mall,com.macro.mall.bo,AdminUserDetails,getPassword,3,1,0
mall,com.macro.mall.bo,AdminUserDetails,getUsername,3,1,0
mall,com.macro.mall.bo,AdminUserDetails,isAccountNonExpired,3,1,0
mall,com.macro.mall.bo,AdminUserDetails,isAccountNonLocked,3,1,0
mall,com.macro.mall.bo,AdminUserDetails,isCredentialsNonExpired,3,1,0
mall,com.macro.mall.bo,AdminUserDetails,isEnabled,3,1,0
mall,com.macro.mall.config,GlobalCorsConfig,corsFilter,10,1,0
mall,com.macro.mall.config,MallSecurityConfig,userDetailsService,3,1,0
mall,com.macro.mall.config,MallSecurityConfig,dynamicSecurityService,13,2,0
mall,com.macro.mall.config,MallSecurityConfig,loadDataSource,8,2,0
mall,com.macro.mall.config,OssConfig,ossClient,3,1,0
mall,com.macro.mall.config,SwaggerConfig,swaggerProperties,3,1,0
mall,com.macro.mall.config,SwaggerConfig,springfoxHandlerProviderBeanPostProcessor,3,1,0
mall,com.macro.mall.controller,CmsPrefrenceAreaController,listAll,4,1,0
mall,com.macro.mall.controller,CmsSubjectController,listAll,4,1,0
mall,com.macro.mall.controller,CmsSubjectController,getList,4,1,3
mall,com.macro.mall.controller,MinioController,upload,30,2,1
mall,com.macro.mall.controller,MinioController,createBucketPolicyConfigDto,4,1,1
mall,com.macro.mall.controller,MinioController,delete,11,1,1
mall,com.macro.mall.controller,OmsCompanyAddressController,list,4,1,0
mall,com.macro.mall.controller,OmsOrderController,list,4,1,3
mall,com.macro.mall.controller,OmsOrderController,delivery,7,2,1
mall,com.macro.mall.controller,OmsOrderController,close,7,2,2
mall,com.macro.mall.controller,OmsOrderController,delete,7,2,1
mall,com.macro.mall.controller,OmsOrderController,detail,4,1,1
mall,com.macro.mall.controller,OmsOrderController,updateReceiverInfo,7,2,1
mall,com.macro.mall.controller,OmsOrderController,updateReceiverInfo,7,2,1
mall,com.macro.mall.controller,OmsOrderController,updateNote,7,2,3
mall,com.macro.mall.controller,OmsOrderReturnApplyController,list,4,1,3
mall,com.macro.mall.controller,OmsOrderReturnApplyController,delete,7,2,1
mall,com.macro.mall.controller,OmsOrderReturnApplyController,getItem,4,1,1
mall,com.macro.mall.controller,OmsOrderReturnApplyController,updateStatus,7,2,2
mall,com.macro.mall.controller,OmsOrderReturnReasonController,create,7,2,1
mall,com.macro.mall.controller,OmsOrderReturnReasonController,update,7,2,2
mall,com.macro.mall.controller,OmsOrderReturnReasonController,delete,7,2,1
mall,com.macro.mall.controller,OmsOrderReturnReasonController,list,4,1,2
mall,com.macro.mall.controller,OmsOrderReturnReasonController,getItem,4,1,1
mall,com.macro.mall.controller,OmsOrderReturnReasonController,updateStatus,7,2,2
mall,com.macro.mall.controller,OmsOrderSettingController,getItem,4,1,1
mall,com.macro.mall.controller,OmsOrderSettingController,update,7,2,2
mall,com.macro.mall.controller,OssController,policy,4,1,0
mall,com.macro.mall.controller,OssController,callback,4,1,1
mall,com.macro.mall.controller,PmsBrandController,getList,3,1,0
mall,com.macro.mall.controller,PmsBrandController,create,11,2,1
mall,com.macro.mall.controller,PmsBrandController,update,11,2,2
mall,com.macro.mall.controller,PmsBrandController,delete,9,2,1
mall,com.macro.mall.controller,PmsBrandController,getList,4,1,4
mall,com.macro.mall.controller,PmsBrandController,getItem,3,1,1
mall,com.macro.mall.controller,PmsBrandController,deleteBatch,9,2,1
mall,com.macro.mall.controller,PmsBrandController,updateShowStatus,9,2,2
mall,com.macro.mall.controller,PmsBrandController,updateFactoryStatus,9,2,2
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,create,9,2,1
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,update,9,2,2
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,delete,9,2,1
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getItem,4,1,1
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getList,4,1,2
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getListWithAttr,4,1,0
mall,com.macro.mall.controller,PmsProductAttributeController,getList,4,1,4
mall,com.macro.mall.controller,PmsProductAttributeController,create,9,2,1
mall,com.macro.mall.controller,PmsProductAttributeController,update,9,2,2
mall,com.macro.mall.controller,PmsProductAttributeController,getItem,4,1,1
mall,com.macro.mall.controller,PmsProductAttributeController,delete,9,2,1
mall,com.macro.mall.controller,PmsProductAttributeController,getAttrInfo,4,1,1
mall,com.macro.mall.controller,PmsProductCategoryController,create,9,2,1
mall,com.macro.mall.controller,PmsProductCategoryController,update,9,2,2
mall,com.macro.mall.controller,PmsProductCategoryController,getList,4,1,3
