Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
mall,com.macro.mall.bo,AdminUserDetails,2,0,8,8,32,8,0,0,0.5,0,1
mall,com.macro.mall.config,GlobalCorsConfig,0,0,1,1,18,1,0,0,-1.0,0,0
mall,com.macro.mall.config,MallSecurityConfig,2,0,3,3,23,5,0,0,0.6666666666666666,0,2
mall,com.macro.mall.config,MyBatisConfig,0,0,0,0,5,0,0,0,-1.0,0,0
mall,com.macro.mall.config,OssConfig,3,0,1,1,11,1,0,0,0.0,0,0
mall,com.macro.mall.config,SwaggerConfig,0,0,2,2,11,2,0,0,-1.0,0,1
mall,com.macro.mall.controller,CmsPrefrenceAreaController,1,0,1,1,10,1,0,0,0.0,0,2
mall,com.macro.mall.controller,CmsSubjectController,1,0,2,2,14,2,0,0,0.0,0,3
mall,com.macro.mall.controller,MinioController,5,0,3,2,58,4,0,0,0.0,0,3
mall,com.macro.mall.controller,OmsCompanyAddressController,1,0,1,1,10,1,0,0,0.0,0,2
mall,com.macro.mall.controller,OmsOrderController,1,0,8,8,56,14,0,0,0.0,0,3
mall,com.macro.mall.controller,OmsOrderReturnApplyController,1,0,4,4,28,6,0,0,0.0,0,6
mall,com.macro.mall.controller,OmsOrderReturnReasonController,1,0,6,6,42,10,0,0,0.0,0,4
mall,com.macro.mall.controller,OmsOrderSettingController,1,0,2,2,17,3,0,0,0.0,0,3
mall,com.macro.mall.controller,OssController,1,0,2,2,14,2,0,0,0.0,0,4
mall,com.macro.mall.controller,PmsBrandController,1,0,9,9,74,15,0,0,0.0,0,4
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,1,0,6,6,45,9,0,0,0.0,0,4
mall,com.macro.mall.controller,PmsProductAttributeController,1,0,6,6,45,9,0,0,0.0,0,5
mall,com.macro.mall.controller,PmsProductCategoryController,1,0,8,8,63,13,0,0,0.0,0,5
mall,com.macro.mall.controller,PmsProductController,1,0,10,10,81,17,0,0,0.0,0,6
mall,com.macro.mall.controller,PmsSkuStockController,1,0,2,2,19,3,0,0,0.0,0,2
mall,com.macro.mall.controller,SmsCouponController,1,0,5,5,35,8,0,0,0.0,0,4
mall,com.macro.mall.controller,SmsCouponHistoryController,1,0,1,1,10,1,0,0,0.0,0,3
mall,com.macro.mall.controller,SmsFlashPromotionController,1,0,6,6,42,10,0,0,0.0,0,4
